,accuracy,precision,recall,f-score,hamloss,subset,microf,macrof
31,0.9630026393417171,0.0,0.0,,0.03699736065828287,0.9630026393417171,,0.0
32,0.9964757025306629,0.0,0.0,,0.0035242974693370593,0.9964757025306629,,0.0
33,0.9964601769911503,0.0,0.0,,0.0035398230088495575,0.9964601769911503,,0.0
34,0.9841794752367644,0.0,0.0,,0.015820524763235522,0.9841794752367644,,0.0
35,0.9964757025306629,0.0,0.0,,0.0035242974693370593,0.9964757025306629,,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.9788852662630025,0.0,0.0,,0.02111473373699736,0.9788852662630025,,0.0
38,0.9876571960875641,0.0,0.0,,0.012342803912435956,0.9876571960875641,,0.0
39,0.8995652848936502,0.0615587641670548,0.0615587641670548,0.0615587641670548,0.10043471510634996,0.8995652848936502,0.5494110671936758,0.0615587641670548
40,0.9929358795218134,0.0,0.0,,0.007064120478186617,0.9929358795218134,,0.0
41,0.98067070330694,0.0,0.0,,0.019329296693060084,0.98067070330694,,0.0
42,0.9753920198726906,0.0,0.0,,0.02460798012730942,0.9753920198726906,,0.0
43,0.9419034311442323,0.0017543859649122805,0.0017543859649122805,0.008771929824561403,0.058096568855767736,0.9419034311442323,0.15384615384615383,0.0017543859649122805
44,0.9119080888060861,0.007017543859649122,0.007017543859649122,0.017543859649122806,0.08809191119391399,0.9119080888060861,0.32539682539682535,0.007017543859649122
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.8486104642136315,0.06522279149200434,0.06522279149200434,0.06522279149200434,0.15138953578636857,0.8486104642136315,0.4451742160278746,0.06522279149200434
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.9894271075919889,0.0,0.0,,0.010572892408011177,0.9894271075919889,,0.0
49,0.9049060704859493,0.0,0.0,,0.0950939295140506,0.9049060704859493,,0.0
50,0.9876571960875641,0.0,0.0,,0.012342803912435956,0.9876571960875641,,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1.0,0.04581586710138177,0.04581586710138177,0.04581586710138177,0.0,1.0,1.0,0.04581586710138177
